epoch,acc,loss,lr,val_acc,val_loss
0,0.9204282407407407,0.24835389212239534,0.001,0.9583960843373494,0.10932942441698298
1,0.9643581570559259,0.0936303420601695,0.001,0.9741118669690099,0.07388913321209535
2,0.9671109824103226,0.08759733280142695,0.001,0.9406651549508692,0.18774287466579084
0,0.9773978556940017,0.06859509318622255,1e-04,0.9792139077853363,0.052731150827065774
0,0.9742103738910528,0.06942339075048638,1e-05,0.979969765729104,0.05120857362899414
1,0.9756592291571099,0.06778063734664637,1e-05,0.9792139077853363,0.051770635883697645
2,0.9762387713188021,0.061601451358193074,1e-05,0.9812925170068028,0.047902972478182315
3,0.9746450304259635,0.0677269981828335,1e-05,0.9795918367346939,0.0511484101354141
4,0.9784120545633217,0.06398297093972732,1e-05,0.9794028723050677,0.05114380507992168
5,0.9769631990209174,0.06368563235479657,1e-05,0.9807256235827665,0.04902478129650837
6,0.9726166328082254,0.0699012842379085,1e-05,0.9792139077853363,0.051664588590242665
7,0.9745001448855404,0.06550386497090775,1e-05,0.9805366591080876,0.050348883234450165
